GEO_ID,NAME,S1502_C01_003E
13001,"Appling County, Georgia",204
13003,"Atkinson County, Georgia",82
13005,"Bacon County, Georgia",138
13007,"Baker County, Georgia",54
13009,"Baldwin County, Georgia",861
13011,"Banks County, Georgia",195
13013,"Barrow County, Georgia",968
13015,"Bartow County, Georgia",1440
13017,"Ben Hill County, Georgia",78
13019,"Berrien County, Georgia",179
13021,"Bibb County, Georgia",3174
13023,"Bleckley County, Georgia",244
13025,"Brantley County, Georgia",141
13027,"Brooks County, Georgia",183
13029,"Bryan County, Georgia",901
13031,"Bulloch County, Georgia",1121
13033,"Burke County, Georgia",190
13035,"Butts County, Georgia",309
13037,"Calhoun County, Georgia",20
13039,"Camden County, Georgia",809
13043,"Candler County, Georgia",44
13045,"Carroll County, Georgia",1546
13047,"Catoosa County, Georgia",1032
13049,"Charlton County, Georgia",134
13051,"Chatham County, Georgia",7161
13053,"Chattahoochee County, Georgia",86
13055,"Chattooga County, Georgia",192
13057,"Cherokee County, Georgia",5594
13059,"Clarke County, Georgia",2120
13061,"Clay County, Georgia",18
13063,"Clayton County, Georgia",3632
13065,"Clinch County, Georgia",22
13067,"Cobb County, Georgia",19771
13069,"Coffee County, Georgia",556
13071,"Colquitt County, Georgia",416
13073,"Columbia County, Georgia",5140
13075,"Cook County, Georgia",133
13077,"Coweta County, Georgia",2234
13079,"Crawford County, Georgia",88
13081,"Crisp County, Georgia",376
13083,"Dade County, Georgia",311
13085,"Dawson County, Georgia",485
13087,"Decatur County, Georgia",294
13089,"DeKalb County, Georgia",19662
13091,"Dodge County, Georgia",237
13093,"Dooly County, Georgia",127
13095,"Dougherty County, Georgia",852
13097,"Douglas County, Georgia",2141
13099,"Early County, Georgia",54
13101,"Echols County, Georgia",13
13103,"Effingham County, Georgia",999
13105,"Elbert County, Georgia",183
13107,"Emanuel County, Georgia",292
13109,"Evans County, Georgia",129
13111,"Fannin County, Georgia",682
13113,"Fayette County, Georgia",3342
13115,"Floyd County, Georgia",1732
13117,"Forsyth County, Georgia",6104
13119,"Franklin County, Georgia",278
13121,"Fulton County, Georgia",25073
13123,"Gilmer County, Georgia",341
13125,"Glascock County, Georgia",19
13127,"Glynn County, Georgia",1670
13129,"Gordon County, Georgia",778
13131,"Grady County, Georgia",303
13133,"Greene County, Georgia",336
13135,"Gwinnett County, Georgia",19679
13137,"Habersham County, Georgia",462
13139,"Hall County, Georgia",3409
13141,"Hancock County, Georgia",55
13143,"Haralson County, Georgia",389
13145,"Harris County, Georgia",907
13147,"Hart County, Georgia",319
13149,"Heard County, Georgia",55
13151,"Henry County, Georgia",4794
13153,"Houston County, Georgia",2558
13155,"Irwin County, Georgia",68
13157,"Jackson County, Georgia",1122
13159,"Jasper County, Georgia",191
13161,"Jeff Davis County, Georgia",92
13163,"Jefferson County, Georgia",189
13165,"Jenkins County, Georgia",24
13167,"Johnson County, Georgia",54
13169,"Jones County, Georgia",670
13171,"Lamar County, Georgia",401
13173,"Lanier County, Georgia",101
13175,"Laurens County, Georgia",539
13177,"Lee County, Georgia",581
13179,"Liberty County, Georgia",723
13181,"Lincoln County, Georgia",120
13183,"Long County, Georgia",229
13185,"Lowndes County, Georgia",2029
13187,"Lumpkin County, Georgia",522
13189,"McDuffie County, Georgia",388
13191,"McIntosh County, Georgia",323
13193,"Macon County, Georgia",72
13195,"Madison County, Georgia",356
13197,"Marion County, Georgia",89
13199,"Meriwether County, Georgia",106
13201,"Miller County, Georgia",40
13205,"Mitchell County, Georgia",231
13207,"Monroe County, Georgia",625
13209,"Montgomery County, Georgia",99
13211,"Morgan County, Georgia",214
13213,"Murray County, Georgia",343
13215,"Muscogee County, Georgia",3569
13217,"Newton County, Georgia",1530
13219,"Oconee County, Georgia",1244
13221,"Oglethorpe County, Georgia",126
13223,"Paulding County, Georgia",2310
13225,"Peach County, Georgia",628
13227,"Pickens County, Georgia",571
13229,"Pierce County, Georgia",180
13231,"Pike County, Georgia",287
13233,"Polk County, Georgia",466
13235,"Pulaski County, Georgia",299
13237,"Putnam County, Georgia",395
13239,"Quitman County, Georgia",11
13241,"Rabun County, Georgia",359
13243,"Randolph County, Georgia",48
13245,"Richmond County, Georgia",3667
13247,"Rockdale County, Georgia",1710
13249,"Schley County, Georgia",68
13251,"Screven County, Georgia",144
13253,"Seminole County, Georgia",109
13255,"Spalding County, Georgia",1040
13257,"Stephens County, Georgia",441
13259,"Stewart County, Georgia",89
13261,"Sumter County, Georgia",536
13263,"Talbot County, Georgia",44
13265,"Taliaferro County, Georgia",22
13267,"Tattnall County, Georgia",331
13269,"Taylor County, Georgia",58
13271,"Telfair County, Georgia",121
13273,"Terrell County, Georgia",37
13275,"Thomas County, Georgia",1023
13277,"Tift County, Georgia",483
13279,"Toombs County, Georgia",346
13281,"Towns County, Georgia",201
13283,"Treutlen County, Georgia",109
13285,"Troup County, Georgia",790
13287,"Turner County, Georgia",99
13289,"Twiggs County, Georgia",105
13291,"Union County, Georgia",419
13293,"Upson County, Georgia",448
13295,"Walker County, Georgia",692
13297,"Walton County, Georgia",1279
13299,"Ware County, Georgia",556
13301,"Warren County, Georgia",42
13303,"Washington County, Georgia",148
13305,"Wayne County, Georgia",356
13307,"Webster County, Georgia",14
13309,"Wheeler County, Georgia",43
13311,"White County, Georgia",326
13313,"Whitfield County, Georgia",797
13315,"Wilcox County, Georgia",80
13317,"Wilkes County, Georgia",113
13319,"Wilkinson County, Georgia",102
13321,"Worth County, Georgia",150
